id,province,population,area
1,新疆维吾尔自治区,21813334,166
2,西藏自治区,3002166,122.84
3,内蒙古自治区,24706321,118.3
4,青海省,5626722,72.23
5,四川省,80418200,48.14
6,黑龙江省,38312224,45.48
7,甘肃省,25575254,45.44
8,云南省,45966239,38.33
9,广西壮族自治区,46026629,23.6
10,湖南省,65683722,21.18
11,陕西省,37327378,20.56
12,河北省,71854204,18.74
13,吉林省,27462297,18.74
14,湖北省,57237740,18.59
15,广东省,104303132,18
16,贵州省,34746468,17.6
17,江西省,44567475,16.7
18,河南省,94023567,16.7
19,山西省,35712111,15.63
20,山东省,95793065,15.38
21,辽宁省,43746323,14.59
22,安徽省,59500510,13.97
23,福建省,36894216,12.13
24,江苏省,78659903,10.26
25,浙江省,54426891,10.2
26,重庆市,28846170,8.23
27,宁夏回族自治区,6301350,6.64
28,台湾省,23373517,3.6
29,海南省,8671518,3.4
30,北京市,19612368,1.68
31,天津市,12938224,1.13
32,上海市,23019148,0.63
33,香港特别行政区,7184000,0.11
34,澳门特别行政区,614500,0.00328